...1;nombre;region;provincia;comuna;hogares;hectareas;area;observaciones;año;tipo
1143;Santa Laura Puente Ñuble;Ñuble;Punilla;San Nicolás;22;8,27825536;53382,281481445;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
1144;Villa Constancia II;Antofagasta;Antofagasta;Antofagasta;37;3,52300733;29409,048457340;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2019;normales
1145;El Esfuerzo;Ñuble;Diguillín;Bulnes;11;0,63201033;4048,554949160;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;normales
1146;18 De Septiembre II;Antofagasta;Antofagasta;Antofagasta;24;0,53314637;4453,314042455;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;normales
1147;El Refugio;Ñuble;Diguillín;Bulnes;16;1,10642849;7098,877392945;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;normales
1148;Alto Las Cruces;Antofagasta;Antofagasta;Antofagasta;38;0,76103593;6358,071489925;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;normales
1149;Los Eucaliptus;Ñuble;Diguillín;Chillán;18;0,12084174;778,315603935;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;normales
1150;Altos De Sucre;Antofagasta;Antofagasta;Antofagasta;23;0,34055734;2843,380496275;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;normales
1151;Puente Ñuble 2;Ñuble;Punilla;San Nicolás;20;1,16006588;7480,803139230;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;normales
1152;Arca De La Alianza;Antofagasta;Antofagasta;Antofagasta;18;0,25494500;2129,258921240;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2019;normales
1153;Los Leones;Ñuble;Itata;Coelemu;14;1,44326281;9327,569931390;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;normales
1154;Arian Coni;Antofagasta;Antofagasta;Antofagasta;26;0,52694053;4402,139616510;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;normales
